ev,het,datum,sz1,sz2,sz3,sz4,sz5
2016,33,2016.08.20.,39,41,46,47,60
2016,32,2016.08.13.,13,14,21,34,84
2016,31,2016.08.06.,15,24,27,29,40
2016,30,2016.07.30.,16,55,60,67,76
2016,29,2016.07.23.,32,43,60,74,79
2016,28,2016.07.16.,10,42,60,78,82
2016,27,2016.07.09.,40,47,52,57,83
2016,26,2016.07.02.,1,9,11,19,41
2016,25,2016.06.25.,29,54,63,78,83
2016,24,2016.06.18.,2,39,69,72,74
2016,23,2016.06.11.,3,7,32,41,58
2016,22,2016.06.04.,22,42,62,82,84
2016,21,2016.05.28.,4,27,41,72,88
2016,20,2016.05.21.,9,10,36,50,78
2016,19,2016.05.14.,6,18,51,59,64
2016,18,2016.05.07.,22,24,43,64,90
2016,17,2016.04.30.,43,45,56,66,82
2016,16,2016.04.23.,24,36,44,63,68
2016,15,2016.04.16.,8,33,57,62,66
2016,14,2016.04.09.,5,22,25,67,87
2016,13,2016.04.02.,1,23,27,42,84
2016,12,2016.03.26.,16,38,54,84,90
2016,11,2016.03.19.,15,36,45,58,72
2016,10,2016.03.12.,28,30,35,56,84
2016,9,2016.03.05.,38,39,52,79,85
2016,8,2016.02.27.,27,35,51,57,59
2016,7,2016.02.20.,24,43,44,48,58
2016,6,2016.02.13.,11,15,23,43,87
2016,5,2016.02.06.,11,15,26,39,78
2016,4,2016.01.30.,48,55,62,69,80
2016,3,2016.01.23.,11,27,55,68,80
2016,2,2016.01.16.,7,18,53,54,85
2016,1,2016.01.09.,3,50,52,59,74
2015,53,2016.01.02.,27,30,35,56,68
2015,52,2015.12.26.,3,9,38,42,85
2015,51,2015.12.19.,15,21,78,87,89
2015,50,2015.12.12.,34,38,45,62,90
2015,49,2015.12.05.,22,24,35,63,68
2015,48,2015.11.28.,9,50,72,76,89
2015,47,2015.11.21.,31,53,57,60,83
2015,46,2015.11.14.,10,25,38,46,50
2015,45,2015.11.07.,41,45,51,54,86
2015,44,2015.10.31.,18,24,30,43,79
2015,43,2015.10.24.,2,18,45,51,70
2015,42,2015.10.17.,2,5,17,24,72
2015,41,2015.10.10.,14,54,60,78,81
2015,40,2015.10.03.,5,10,23,51,58
2015,39,2015.09.26.,10,57,70,75,87
2015,38,2015.09.19.,4,38,42,64,74
2015,37,2015.09.12.,8,50,69,72,87
2015,36,2015.09.05.,20,26,38,41,58
2015,35,2015.08.29.,1,19,70,80,81
2015,34,2015.08.22.,17,20,32,76,84
2015,33,2015.08.15.,2,13,67,70,86
2015,32,2015.08.08.,33,52,67,77,87
2015,31,2015.08.01.,3,32,50,59,65
2015,30,2015.07.25.,3,34,46,62,79
2015,29,2015.07.18.,2,5,37,57,67
2015,28,2015.07.11.,10,18,26,36,38
2015,27,2015.07.04.,1,48,61,62,79
2015,26,2015.06.27.,19,30,43,58,69
2015,25,2015.06.20.,27,29,47,59,89
2015,24,2015.06.13.,3,26,28,42,49
2015,23,2015.06.06.,15,16,36,60,70
2015,22,2015.05.30.,18,55,56,83,90
2015,21,2015.05.23.,12,25,30,46,51
2015,20,2015.05.16.,1,19,20,27,34
2015,19,2015.05.09.,18,37,44,52,76
2015,18,2015.05.02.,8,65,67,69,82
2015,17,2015.04.25.,2,50,55,65,84
2015,16,2015.04.18.,25,56,57,81,86
2015,15,2015.04.11.,21,23,29,46,48
2015,14,2015.04.04.,2,33,38,70,77
2015,13,2015.03.28.,6,18,35,74,90
2015,12,2015.03.21.,18,31,36,52,59
2015,11,2015.03.14.,11,41,42,45,77
2015,10,2015.03.07.,13,17,19,46,60
2015,9,2015.02.28.,18,19,22,62,67
2015,8,2015.02.21.,1,45,64,73,86
2015,7,2015.02.14.,18,31,46,49,85
2015,6,2015.02.07.,18,27,52,57,73
2015,5,2015.01.31.,27,35,42,55,71
2015,4,2015.01.24.,3,50,55,57,58
2015,3,2015.01.17.,63,68,69,75,86
2015,2,2015.01.10.,5,19,23,25,67
2015,1,2015.01.03.,46,54,55,70,85
2014,52,2014.12.27.,10,11,29,35,48
2014,51,2014.12.20.,6,7,40,57,67
2014,50,2014.12.13.,3,4,55,56,69
2014,49,2014.12.06.,7,19,23,44,66
2014,48,2014.11.29.,37,45,59,65,76
2014,47,2014.11.22.,25,38,43,57,72
2014,46,2014.11.15.,9,19,57,61,62
2014,45,2014.11.08.,14,30,51,62,78
2014,44,2014.11.01.,37,62,66,85,90
2014,43,2014.10.25.,27,49,72,79,81
2014,42,2014.10.18.,10,17,61,63,73
2014,41,2014.10.11.,4,31,38,75,89
2014,40,2014.10.04.,8,14,19,30,34
2014,39,2014.09.27.,27,32,36,39,57
